X0610007C21Rik.Apr3,X0610007L01Rik,X0610007P08Rik.Rad26l,X0610007P14Rik,X0610007P22Rik,X0610009B22Rik,X0610009D07Rik,X0610009O20Rik,X0610010F05Rik.mKIAA1841.Kiaa1841,X0610010K14Rik.Rnasek,X0610010O12Rik,X0610011F06Rik,X0610011L14Rik,X0610012G03Rik,X0610012H03Rik,X0610030E20Rik,X0610031J06Rik,X0610037L13Rik,X0610037P05Rik,X0610038B21Rik
W29956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W29970,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0
W29977,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W29978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
W29981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W29982,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
W29987,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0
W29990,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W29995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W29997,0,0,0,0,0,0,0,0,0,8,0,1,0,4,0,0,0,0,0,0
W29998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30029,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
W30031,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,3,0,0,0
W30034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30038,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
W30040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30043,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
W30045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
W30048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
W30054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W30061,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
W30067,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
W30069,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0
W30072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
